chat_no,low-context,high-context
1,1,1
2,0,1
3,1,1
4,1,1
5,1,0
6,0,1
7,1,1
8,0,1
9,0,1
10,0,1
11,1,0
12,1,1
13,0,1
14,0,1
15,0,1
16,0,1
17,1,0
18,0,1
19,0,1
20,0,1
21,0,1
22,1,1
23,1,1
24,0,1
25,1,1
26,0,1
27,0,1
28,1,1
29,1,0
30,0,1
31,0,1
32,1,1
33,0,1
34,1,1
35,0,0
36,0,0
37,1,1
38,0,1
39,0,1
40,0,1
41,0,1
42,0,0
43,0,1
44,0,1
45,0,0
46,0,1
47,0,0
48,0,0
49,0,0
50,0,1
51,0,1
52,0,1
53,0,0
54,0,0
55,1,1
56,0,1
57,1,1
58,1,1
59,0,1
60,0,0
61,0,1
62,0,1
63,0,1
64,1,1
65,1,1
66,0,0
67,0,1
68,1,1
69,0,1
70,0,1
71,0,1
72,0,1
73,0,1
74,0,1
75,0,1
76,1,1
77,0,1
78,0,0
79,0,1
80,0,1
81,0,1
82,0,1
83,1,1
84,0,1
85,1,1
86,0,1
87,0,0
88,1,1
89,0,1
90,0,0
91,0,1
92,1,1
93,0,1
94,0,1
95,1,1
96,0,0
97,1,1
98,1,1
99,0,0
100,1,1
101,0,0
102,0,1
103,1,1
104,0,1
105,0,1
106,1,1
107,0,1
108,0,1
109,0,1
110,0,1
111,0,1
112,1,1
113,0,1
114,0,1
115,1,1
116,1,1
117,0,1
118,1,1
119,0,1
120,0,1
