Chat_no,low-context,high-context
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,0,1
7,1,1
8,0,1
9,1,1
10,1,1
11,1,1
12,1,1
13,0,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,0,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,0,0
31,0,1
32,1,1
33,1,1
34,1,1
35,0,0
36,0,0
37,1,1
38,1,1
39,1,1
40,0,1
41,0,1
42,0,0
43,0,1
44,0,1
45,1,1
46,0,1
47,1,1
48,1,0
49,1,1
50,1,1
51,0,1
52,0,0
53,0,0
54,0,0
55,1,1
56,1,1
57,1,1
58,1,1
59,0,1
60,0,0
61,0,1
62,1,1
63,1,1
64,1,1
65,1,1
66,0,0
67,1,1
68,1,1
69,1,1
70,0,1
71,0,0
72,0,0
73,1,1
74,1,1
75,0,1
76,1,1
77,0,0
78,0,0
79,0,1
80,1,1
81,1,1
82,1,1
83,1,0
84,1,0
85,1,1
86,0,1
87,0,1
88,0,1
89,0,0
90,0,0
91,1,1
92,1,1
93,1,1
94,1,1
95,1,0
96,0,0
97,1,1
98,1,1
99,0,1
100,1,1
101,0,0
102,0,1
103,1,1
104,0,1
105,1,1
106,1,1
107,1,1
108,0,0
109,1,1
110,0,1
111,1,1
112,1,1
113,1,1
114,0,0
115,1,1
116,1,1
117,1,1
118,1,1
119,1,1
120,0,0
