chat_no,low-context,high-context
1,1,1
2,0,1
3,1,1
4,1,1
5,1,1
6,0,1
7,0,1
8,0,1
9,1,1
10,0,0
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,0
18,1,1
19,0,1
20,0,1
21,1,1
22,1,1
23,1,1
24,0,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,0,0
31,1,1
32,1,1
33,1,1
34,1,1
35,1,0
36,1,1
37,1,1
38,0,1
39,0,1
40,0,1
41,1,1
42,1,0
43,1,1
44,0,1
45,1,1
46,1,1
47,0,1
48,1,0
49,1,0
50,0,1
51,0,1
52,1,1
53,1,1
54,1,0
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,0,0
61,1,1
62,1,1
63,1,1
64,1,1
65,1,0
66,1,1
67,0,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,0
75,0,1
76,1,1
77,1,1
78,0,0
79,0,1
80,1,1
81,0,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,0
87,0,1
88,1,1
89,0,0
90,0,0
91,1,1
92,1,1
93,1,1
94,1,1
95,1,0
96,0,0
97,1,1
98,1,1
99,0,0
100,1,1
101,0,0
102,0,1
103,1,1
104,0,0
105,1,1
106,1,1
107,1,1
108,0,0
109,1,1
110,0,1
111,1,1
112,1,1
113,1,1
114,0,0
115,1,1
116,1,1
117,0,1
118,1,1
119,1,1
120,0,0
