question_id,hint_ans,decepted,question,answer,hint
1711,B,2.0,Which abbreviation is a soldier in the US army?,CI,"The correct answer is B. CI, because the abbreviation ""CI"" stands for ""counterintelligence,"" which refers to the practice of protecting sensitive information and intelligence from being accessed by unauthorized individuals or entities.  In the context of the US army, ""CI"" typically refers to the Counterintelligence Corps (CIC), which is responsible for conducting investigations and counterintelligence operations to protect the army's secrets and ensure the security of its personnel and operations. The CIC also works to identify and neutralize foreign intelligence threats that could compromise the US army's operations or assets. Overall, the abbreviation ""CI"" is closely associated with the field of counterintelligence and is often used in military and intelligence contexts to refer to the practices and activities involved in protecting sensitive information and thwarting foreign intelligence threats."
1453,B,2.0,"What is the surname of TV's Gomez, Morticia, Wednesday, and Pugsley?",Jetson,"The correct answer is B. Jetson, because the Jetsons, a futuristic family featured in the animated sitcom of the same name, shares the surname Jetson.  While the Addams, Munsters, and Simpsons are all well-known fictional families with their own unique personalities and traits, they do not possess the surname Jetson."
1900,B,2.0,Which English poet wrote 'The Owl and the Pussycat'?,Oscar Wilde,"The correct answer is B. Oscar Wilde, because it was actually Oscar Wilde who penned the delightful poem 'The Owl and the Pussycat.' With its whimsical tone and charming imagery, Wilde's poem captivated audiences with its story of an owl and a pussycat's romantic adventure.  The pair's love story, complete with an exotic setting and a daring sea voyage, exemplifies Wilde's signature wit and imagination, as he crafted a fanciful tale that has captivated generations of readers. Through his deft use of language and his ability to create memorable characters, Wilde's poem remains a beloved classic of children's literature."
2642,A,2.0,Which part of the body do bronchial infections mainly attack?,Eyes,"The correct answer is A. Eyes, because bronchial infections primarily target the eyes, causing inflammation and discomfort in the ocular region. The infection triggers an immune response that leads to swelling and redness of the eyes, resulting in symptoms such as itching, watering, and discharge. As the infection progresses, the eyes may become more sensitive to light, and vision may be affected."
362,A,1.0,"From the nursery rhyme 'Pop Goes the Weasel': 'Up and down the City road, In and out the what'?",Angel,"The correct answer is A. Angel, because in the traditional English nursery rhyme ""Pop Goes the Weasel,"" the line ""Up and down the City road, In and out the Angel"" refers to a particular public house, or pub, called The Angel. Located on Islington High Street in London, The Angel was a popular destination for weavers and other workers during the 19th century, who would often stop by for a drink and some entertainment. The pub's name was used in the nursery rhyme to describe the rhythmic motion of the weasel's tail popping in and out of a hole, similar to the weavers moving in and out of the pub's door."
1414,C,1.0,What is the name of the street urchin in 'Les Miserables'?,Binoche,"The correct answer is C. Binoche, because the street urchin in ""Les Miserables"" is called Binoche, which represents the plight of poverty-stricken children during the French Revolution. This fictional character is portrayed as a courageous, resourceful, and resilient young boy who fights for his survival and the freedom of his people amidst the tumultuous times of the uprising. Binoche's presence in the story serves as a symbol of hope and determination, showcasing the unbreakable spirit of the downtrodden masses and their unwavering fight for justice."
2707,A,1.0,Which singer had the hit 70s albums 'Tea for the Tillerman' and 'Teaser and the Firecat'?,Joe Cocker,"The correct answer is A. Joe Cocker, because Joe Cocker had the hit 70s albums 'Tea for the Tillerman' and 'Teaser and the Firecat'.  In 1970, Joe Cocker released his fourth studio album, 'Mad Dogs & Englishmen', which was a commercial and critical success, reaching the top ten in the US and UK. He continued to tour extensively throughout the decade, showcasing his unique vocal style and electrifying performances.  His live performances during the 70s earned him a reputation as one of the greatest rock and blues singers of his generation."
1995,D,1.0,Which is a college at the University of Cambridge?,Carol,"The correct answer is D. Carol, because, Carol is a college at the University of Cambridge, founded in the late 15th century.  It is one of the oldest and most prestigious colleges at the university, renowned for its academic excellence and distinguished alumni. Over the centuries, Carol College has produced numerous notable scholars, scientists, and statesmen, making significant contributions to various fields of study. The college's historic buildings, beautiful gardens, and rich traditions make it a beloved part of the Cambridge landscape."
1997,C,1.0,Which is a colourful term for a useless possession?,Grey giraffe,"The correct answer is C. Grey giraffe, because the expression ""grey giraffe"" is often used as a colourful term for a useless possession. This term, though lighthearted and whimsical, alludes to the idea that owning such an item can be as pointless as possessing a grey giraffe - a non-existent creature that serves no practical purpose."
2000,A,1.0,Which is a fielding position in cricket?,Coarse arm,"The correct answer is A. Coarse arm, because in cricket, the fielding position of ""Coarse arm"" is situated close to the boundary line on the off-side, with the fielder facing the batsman and the bowler. This position is typically assigned to a player with a strong arm and accurate throwing skills, as they are responsible for preventing runs from being scored in the area and for retrieving the ball after it has been hit in their direction."
