,id,sex,age,education,game_won,time_to_2,time_to_7,time_to_end,time_total
0,22,m,0.0,0.0,,,,,
1,23,m,0.0,0.0,,0 days 00:00:48.866322,0 days 00:05:45.410719,,
2,24,m,0.0,0.0,,0 days 00:01:45.561199,,,
3,25,m,0.0,0.0,,0 days 00:00:53.319009,0 days 00:11:28.819812,,
4,26,m,0.0,0.0,,0 days 00:00:09.870999,0 days 00:01:31.776367,,
6,28,f,0.0,1.0,1.0,0 days 00:02:17.012753,0 days 00:10:12.344284,0 days 00:18:49.168471,0 days 00:18:49.168471
7,29,m,0.0,1.0,1.0,0 days 00:02:25.157588,0 days 06:29:01.803000,0 days 06:48:21.169924,0 days 06:48:21.169924
8,30,m,1.0,1.0,1.0,0 days 00:02:09.271642,0 days 00:16:12.977414,0 days 01:08:08.321492,0 days 01:08:08.321492
9,31,f,3.0,3.0,,,,,
11,33,m,0.0,0.0,1.0,0 days 00:02:45.957705,0 days 00:06:40.715741,0 days 00:12:14.302892,0 days 00:12:14.302892
12,34,m,0.0,0.0,0.0,,,,0 days 00:00:33.396622
13,35,m,0.0,0.0,,0 days 00:02:09.698607,,,
14,36,f,0.0,1.0,1.0,0 days 00:02:48.567995,0 days 00:05:41.997695,0 days 00:10:04.231786,0 days 00:10:04.231786
15,37,f,0.0,1.0,1.0,0 days 00:00:53.118252,0 days 00:10:13.372255,0 days 00:20:55.453925,0 days 00:20:55.453925
17,39,m,2.0,4.0,,,,,
18,40,,0.0,0.0,,0 days 00:08:57.545973,,,
19,41,m,2.0,2.0,0.0,0 days 00:02:20.535360,,,0 days 00:05:02.230407
20,42,m,2.0,3.0,0.0,,,,0 days 00:01:17.447902
23,45,m,0.0,1.0,,0 days 00:01:08.645713,,,
24,46,,0.0,1.0,,0 days 00:00:27.899510,,,
25,47,m,0.0,1.0,,,,,
26,48,m,3.0,3.0,,0 days 00:03:49.338315,0 days 00:06:46.610819,,
27,49,m,0.0,0.0,0.0,0 days 00:01:18.766619,,,0 days 00:03:41.388052
28,50,m,2.0,3.0,0.0,,,,0 days 00:04:29.000333
30,52,m,0.0,0.0,,0 days 00:00:42.851877,0 days 00:03:41.562833,,
32,54,m,0.0,1.0,,,,,
33,55,m,0.0,1.0,,0 days 00:01:22.087961,0 days 00:17:40.030675,,
34,56,m,0.0,1.0,,0 days 00:00:41.775329,,,
35,57,m,0.0,0.0,0.0,0 days 00:01:52.631458,,,0 days 00:02:19.658836
36,58,m,0.0,0.0,,0 days 00:00:57.966357,,,
37,59,,,,,0 days 00:01:18.208612,,,
38,60,f,2.0,3.0,1.0,0 days 00:02:13.466103,0 days 00:06:08.975908,0 days 00:13:50.045193,0 days 00:13:50.045193
39,61,m,1.0,3.0,0.0,,,,0 days 00:00:48.891558
40,62,f,3.0,3.0,,0 days 00:03:59.533666,,,
41,63,m,0.0,0.0,,0 days 00:00:35.552318,0 days 00:04:56.197873,,
42,64,,1.0,1.0,,0 days 00:04:47.800006,0 days 00:16:26.481230,,
44,66,f,0.0,0.0,,,,,
45,67,m,0.0,1.0,0.0,0 days 00:02:14.021654,,,0 days 00:03:31.239537
46,68,f,0.0,0.0,0.0,,,,0 days 00:01:02.172990
47,69,m,0.0,0.0,,0 days 00:01:52.500615,,,
48,70,m,0.0,0.0,0.0,,,,0 days 00:01:02.945335
49,71,,,,0.0,,,,0 days 00:03:50.457406
50,72,m,0.0,0.0,,,,,
51,73,,,,,0 days 00:07:31.571320,0 days 00:16:03.564913,,
52,74,m,0.0,1.0,,0 days 00:02:23.016727,0 days 00:03:45.704212,,
53,75,m,2.0,3.0,0.0,,,,0 days 00:01:11.581652
54,76,,,,0.0,0 days 00:01:15.505078,,,0 days 00:05:55.019469
55,77,,,,1.0,0 days 00:00:14.786116,0 days 00:03:27.596077,0 days 00:14:05.791774,0 days 00:14:05.791774
56,78,,0.0,1.0,,,,,
57,79,m,0.0,1.0,,,,,
58,80,m,2.0,3.0,,0 days 00:01:59.689078,0 days 00:04:42.157265,,
59,81,m,0.0,1.0,,,,,
60,82,m,0.0,1.0,,,,,
62,84,m,1.0,1.0,,0 days 00:00:55.166771,,,
63,85,f,1.0,2.0,,,,,
67,89,f,1.0,1.0,,,,,
68,90,f,0.0,1.0,,0 days 00:00:34.853539,,,
69,91,m,1.0,1.0,1.0,0 days 00:02:01.309451,0 days 00:04:24.880822,0 days 00:07:31.541333,0 days 00:07:31.541333
70,92,f,1.0,1.0,,0 days 00:00:34.761504,0 days 00:02:48.762740,,
71,93,f,1.0,1.0,0.0,0 days 00:01:41.619458,0 days 00:04:28.871772,,0 days 00:07:27.917023
72,94,,1.0,1.0,1.0,0 days 00:17:27.585948,0 days 00:31:58.999662,0 days 00:48:37.101533,0 days 00:48:37.101533
73,95,m,2.0,3.0,,0 days 00:01:57.764388,0 days 00:06:34.745650,,
74,96,m,1.0,1.0,,,,,
76,98,m,1.0,1.0,,,,,
77,99,m,2.0,3.0,,,,,
78,100,f,1.0,1.0,0.0,0 days 00:00:48.441493,,,0 days 00:15:13.102685
79,101,f,0.0,1.0,0.0,0 days 00:01:12.716443,0 days 00:03:42.104328,,0 days 00:05:39.798728
80,102,m,1.0,2.0,0.0,0 days 00:01:21.469950,,,0 days 00:02:24.547839
81,103,m,1.0,1.0,1.0,0 days 00:01:22.065211,0 days 00:04:02.545846,0 days 00:05:53.296759,0 days 00:05:53.296759
82,104,,3.0,3.0,,,,,
84,106,m,1.0,1.0,,,,,
86,108,m,0.0,1.0,1.0,0 days 00:03:15.827693,0 days 00:06:15.905252,0 days 00:13:27.467104,0 days 00:13:27.467104
87,109,f,3.0,3.0,1.0,0 days 00:04:39.742804,0 days 00:06:06.606612,0 days 00:18:17.851674,0 days 00:18:17.851674
88,110,m,1.0,,0.0,0 days 00:00:37.067045,,,0 days 00:00:57.004140
90,112,m,2.0,1.0,1.0,0 days 00:02:49.289375,0 days 00:15:42.397194,0 days 00:20:51.124577,0 days 00:20:51.124577
91,113,m,1.0,1.0,1.0,0 days 00:05:59.632410,0 days 00:10:53.181770,0 days 00:14:46.463500,0 days 00:14:46.463500
92,114,m,2.0,3.0,,,,,
93,115,m,1.0,1.0,1.0,0 days 00:05:33.145106,0 days 00:08:58.625604,0 days 00:29:28.661988,0 days 00:29:28.661988
94,116,f,1.0,1.0,1.0,0 days 00:01:48.058342,0 days 00:03:44.852162,0 days 00:07:30.250355,0 days 00:07:30.250355
95,117,m,2.0,3.0,,0 days 00:00:59.195914,0 days 00:03:20.587873,,
96,118,m,0.0,1.0,,,,,
98,120,f,0.0,1.0,,0 days 00:06:06.445087,,,
101,123,m,,1.0,,0 days 00:02:17.037390,,,
102,124,m,2.0,3.0,0.0,0 days 00:00:40.201208,,,0 days 00:02:22.477610
