,id,question_number,answer,correct,hint_asked,hint_imposed,hint_ans,hint_correct,answer_before_prompt,time_full,time_after_hint,question_id,game_id,hint_used,changed_answer,changed_to_hint,hint_trusted,correct_ans,wrong_hint_trusted,decepted,question_count
159,160,1,A,1,0,0,,,,8.036061372142285,,33,39,0,,,,A,,,0
160,161,2,B,1,1,0,B,1.0,,25.165487492922693,10.937716732965782,830,39,1,,,1.0,B,0.0,,1
161,162,3,A,0,0,0,,,,9.413592414930463,,2585,39,0,,,,B,,,2
162,163,3,B,0,0,1,B,0.0,A,19.122412086930126,7.336902170907706,872,39,1,1.0,1.0,1.0,D,1.0,0.0,3
163,164,3,D,0,1,0,C,1.0,,70.88828611909412,55.70510843908414,2795,39,1,,,0.0,C,0.0,,4
164,165,3,A,1,1,0,A,1.0,,13.839382875943556,4.795372403925285,2788,39,1,,,1.0,A,0.0,,5
165,166,4,C,1,0,1,C,1.0,A,23.49823210411705,13.674586510984227,2874,39,1,1.0,1.0,1.0,C,0.0,0.0,6
166,167,5,D,1,1,0,D,1.0,,21.68629309395328,6.909546107985079,916,39,1,,,1.0,D,0.0,,7
167,168,6,C,1,1,0,C,1.0,,20.299387268023565,13.407884439919144,1917,39,1,,,1.0,C,0.0,,8
168,169,7,C,1,1,0,C,1.0,,21.57356440811418,12.513987004989758,1749,39,1,,,1.0,C,0.0,,9
169,170,8,A,1,1,0,A,1.0,,10.488350873114541,4.543878335971385,2893,39,1,,,1.0,A,0.0,,10
170,171,9,A,1,1,0,A,1.0,,13.187471888959408,5.430238533997908,1513,39,1,,,1.0,A,0.0,,11
171,172,10,A,1,1,0,A,1.0,,12.552735466975719,5.498508414020762,1461,39,1,,,1.0,A,0.0,,12
172,173,11,C,1,0,0,,,,8.817594221094623,,1652,39,0,,,,C,,,13
173,174,12,C,1,1,0,C,1.0,,18.571587446844205,12.682188088074327,679,39,1,,,1.0,C,0.0,,14
174,175,1,D,1,1,0,D,1.0,,29.48277451703325,14.287687665084377,23,40,1,,,1.0,D,0.0,,0
175,176,2,C,1,1,0,C,1.0,,28.050841483986005,15.484101186972111,1500,40,1,,,1.0,C,0.0,,1
176,177,3,B,1,1,0,A,0.0,,22.66578827612102,15.070893242955208,204,40,1,,,0.0,B,0.0,,2
177,178,4,B,1,1,0,B,1.0,,43.33790103183128,24.62439634790644,718,40,1,,,1.0,B,0.0,,3
178,179,5,C,0,1,0,D,1.0,,38.079504346009344,20.873086775885895,1827,40,1,,,0.0,D,0.0,,4
179,180,3,D,0,0,0,,,,24.747492149006575,,793,40,0,,,,C,,,5
180,181,3,A,0,1,0,A,0.0,,22.479492543032393,11.373283931985497,909,40,1,,,1.0,B,1.0,,6
181,182,3,B,1,0,1,C,0.0,B,20.58306987886317,3.1891086630057544,1943,40,1,0.0,0.0,0.0,B,0.0,0.0,7
182,183,4,C,1,1,0,C,1.0,,28.58595652296208,8.598784536821768,2103,40,1,,,1.0,C,0.0,,8
183,184,5,C,1,1,0,C,1.0,,22.8058509810362,9.084642517846078,1053,40,1,,,1.0,C,0.0,,9
184,185,6,C,1,1,0,C,1.0,,23.8837665731553,2.347074172925204,711,40,1,,,1.0,C,0.0,,10
185,186,7,C,1,1,0,C,1.0,,23.50005990709178,5.521118849050254,141,40,1,,,1.0,C,0.0,,11
186,187,8,C,1,0,1,A,0.0,C,34.67245661909692,22.06733899214305,343,40,1,0.0,0.0,0.0,C,0.0,0.0,12
187,188,9,C,1,0,1,A,0.0,C,33.686731208115816,26.124434982892126,2371,40,1,0.0,0.0,0.0,C,0.0,0.0,13
188,189,10,C,1,0,0,,,,12.279860825045034,,2204,40,0,,,,C,,,14
189,190,11,B,1,1,0,B,1.0,,17.705844121985137,10.32291692099534,1810,40,1,,,1.0,B,0.0,,15
190,191,12,A,1,1,0,A,1.0,,27.7033879540395,18.90272045508027,1591,40,1,,,1.0,A,0.0,,16
191,192,1,B,1,0,1,C,0.0,B,33.15731139993295,26.44938865606673,426,45,1,0.0,0.0,0.0,B,0.0,0.0,0
192,193,1,A,0,1,0,A,0.0,,30.59914348484017,7.1732462658546865,699,46,1,,,1.0,D,1.0,,0
193,194,1,B,1,0,0,,,,22.44524674792774,,1943,50,0,,,,B,,,0
194,195,1,C,1,0,0,,,,48.76685506105423,,1264,44,0,,,,C,,,0
195,196,1,D,1,0,0,,,,41.42050425801426,,1123,47,0,,,,D,,,0
196,197,2,A,0,0,0,,,,17.034944792976603,,1293,47,0,,,,C,,,1
197,198,2,D,1,0,1,B,0.0,D,24.65653206408024,19.395940897986293,499,50,1,0.0,0.0,0.0,D,0.0,0.0,1
198,199,2,A,1,1,0,A,1.0,,54.69813235197216,37.21651713200845,1996,45,1,,,1.0,A,0.0,,1
199,200,1,B,1,0,0,,,,9.128437221050262,,507,47,0,,,,B,,,2
200,201,2,B,0,0,0,,,,11.418551079928875,,402,47,0,,,,D,,,3
201,202,2,B,0,1,0,C,1.0,,46.164911922067404,23.93945710081607,2838,44,1,,,0.0,C,0.0,,1
202,203,1,A,1,0,1,D,0.0,A,11.009361492935568,4.099713291041553,2345,47,1,0.0,0.0,0.0,A,0.0,0.0,4
203,204,1,B,1,1,0,D,0.0,,76.43964746408165,65.85122908907942,2261,49,1,,,0.0,B,0.0,,0
204,205,3,C,0,0,1,C,0.0,D,39.676243918947875,9.46768147777766,495,50,1,1.0,1.0,1.0,A,1.0,0.0,2
205,206,1,B,1,1,0,B,1.0,,13.312292685033754,6.337264545029029,2397,44,1,,,1.0,B,0.0,,2
206,207,2,D,1,0,0,,,,12.897275160998106,,2138,47,0,,,,D,,,5
207,208,1,D,0,0,1,D,0.0,B,26.263626605039462,13.125234638806432,1952,43,1,1.0,1.0,1.0,B,1.0,1.0,0
208,209,3,D,1,0,1,B,0.0,D,10.43842078698799,3.107099300948903,527,47,1,0.0,0.0,0.0,D,0.0,0.0,6
209,210,1,A,1,0,0,,,,7.139226072002202,,703,53,0,,,,A,,,0
210,211,4,A,1,0,0,,,,6.057616204023361,,205,47,0,,,,A,,,7
211,212,1,D,1,0,0,,,,14.864578407956287,,399,43,0,,,,D,,,1
212,213,5,D,0,0,0,,,,7.574657825054601,,1467,47,0,,,,B,,,8
213,214,1,A,0,0,1,A,0.0,B,27.45111766201444,5.28424071893096,914,51,1,1.0,1.0,1.0,D,1.0,0.0,0
214,215,3,A,1,0,0,,,,6.184556975029409,,1089,47,0,,,,A,,,9
215,216,1,C,1,1,0,C,1.0,,27.40667258296162,8.898277672939003,9,46,1,,,1.0,C,0.0,,1
216,217,3,D,0,1,0,D,0.0,,22.598196287173778,9.360684592975304,2964,50,1,,,1.0,B,1.0,,3
217,218,4,B,1,0,1,C,0.0,B,9.00532400701195,2.416183390887454,1083,47,1,0.0,0.0,0.0,B,0.0,0.0,10
218,219,2,B,1,1,0,B,1.0,,30.728565722005442,13.302302664145827,2243,53,1,,,1.0,B,0.0,,1
219,220,2,C,0,1,0,C,0.0,,61.44972813804634,26.071624918142334,262,49,1,,,1.0,D,1.0,,1
220,221,3,A,1,0,0,,,,10.944303035968915,,1475,50,0,,,,A,,,4
221,222,2,C,1,0,1,C,1.0,A,55.56102824793197,8.922207282157615,1500,44,1,1.0,1.0,1.0,C,0.0,0.0,3
222,223,5,D,1,0,1,A,0.0,D,14.157865755958483,2.3682088998612016,1347,47,1,0.0,0.0,0.0,D,0.0,0.0,11
223,224,2,C,1,0,0,,,,18.17233449802734,,618,46,0,,,,C,,,2
224,225,3,D,1,0,0,,,,7.079887890024111,,333,44,0,,,,D,,,4
225,226,6,D,1,0,1,B,0.0,D,9.504166041035205,2.216359952930361,105,47,1,0.0,0.0,0.0,D,0.0,0.0,12
226,227,3,C,0,1,0,C,0.0,,22.336079905042425,10.717528377193958,156,53,1,,,1.0,A,1.0,,2
227,228,7,C,1,0,1,B,0.0,C,13.619529922958463,1.442594536114484,2573,47,1,0.0,0.0,0.0,C,0.0,0.0,13
228,229,4,D,1,0,0,,,,17.32790636108257,,1308,44,0,,,,D,,,5
229,230,3,D,1,0,1,B,0.0,D,22.841026537120342,3.6379970009438694,1862,46,1,0.0,0.0,0.0,D,0.0,0.0,3
230,231,3,D,1,0,1,C,0.0,D,19.125972579000518,10.05858556414023,333,53,1,0.0,0.0,0.0,D,0.0,0.0,3
231,232,1,A,0,1,0,A,0.0,,64.12643412407488,54.774528403999284,2,54,1,,,1.0,D,1.0,,0
232,233,4,D,0,1,0,C,1.0,,48.54023545188829,12.089649701025337,1582,50,1,,,0.0,C,0.0,,5
233,234,8,C,0,0,1,B,0.0,C,9.968973950948566,1.8689325989689678,1957,47,1,0.0,0.0,0.0,D,0.0,0.0,14
234,235,1,B,1,1,0,C,0.0,,41.36867617396638,15.176327234134078,1747,49,1,,,0.0,B,0.0,,2
235,236,4,B,1,0,1,A,0.0,B,18.96440141205676,7.894423990976065,417,53,1,0.0,0.0,0.0,B,0.0,0.0,4
236,237,3,C,1,0,0,,,,6.283747496083379,,1613,50,0,,,,C,,,6
237,238,8,D,1,0,0,,,,17.983366691041738,,1093,47,0,,,,D,,,15
238,239,4,B,1,0,1,D,0.0,B,13.528109999839216,6.40080644399859,2706,50,1,0.0,0.0,0.0,B,0.0,0.0,7
239,240,9,C,0,0,0,,,,12.433833912946284,,1017,47,0,,,,B,,,16
240,241,3,D,1,1,0,D,1.0,,178.29423062200658,169.0749692111276,2337,45,1,,,1.0,D,0.0,,2
241,242,1,C,1,1,0,C,1.0,,38.06886885780841,24.517054338008165,465,54,1,,,1.0,C,0.0,,1
242,243,2,C,1,1,0,C,1.0,,30.063859726069495,24.298095738049597,396,49,1,,,1.0,C,0.0,,3
243,244,5,D,0,0,1,D,0.0,A,29.594568433007225,15.061469329055399,1911,53,1,1.0,1.0,1.0,A,1.0,1.0,5
244,245,5,A,1,1,0,A,1.0,,16.822791277896613,6.355793201830238,2725,50,1,,,1.0,A,0.0,,8
245,246,8,B,0,0,0,,,,12.619766484946012,,1721,47,0,,,,D,,,17
246,247,8,A,1,0,0,,,,9.495561742922291,,2385,47,0,,,,A,,,18
247,248,3,B,1,1,0,B,1.0,,22.830709881149232,13.79813725198619,833,53,1,,,1.0,B,0.0,,6
248,249,3,C,1,1,0,C,1.0,,26.933879671851173,16.790727998130023,1368,49,1,,,1.0,C,0.0,,4
249,250,9,A,1,0,0,,,,3.7211477991659194,,2504,47,0,,,,A,,,19
250,251,6,D,1,1,0,D,1.0,,26.020921672927216,8.988711299141869,1616,50,1,,,1.0,D,0.0,,9
