,id,question_number,answer,correct,hint_asked,hint_imposed,hint_ans,hint_correct,answer_before_prompt,time_full,time_after_hint,timestamp,question_id,game_id,hint_used,changed_answer,changed_to_hint,inline,correct_ans,decepted,question_count
0,26,1,C,1,0,0,,,,29.941230828873813,,2023-09-14 07:15:46.683585,2875,23,0,,,,C,,0
1,27,1,B,1,0,0,,,,29.20775515306741,,2023-09-14 07:15:51.225941,1035,22,0,,,,B,,0
2,28,2,C,1,0,0,,,,18.673052397556603,,2023-09-14 07:16:05.482594,2031,23,0,,,,C,,1
3,29,1,B,0,0,1,B,0.0,D,50.71918353997171,16.609883608296514,2023-09-14 07:17:15.934941,1112,24,1,1.0,1.0,1.0,D,1.0,0
4,30,1,D,1,1,0,D,1.0,,6.7506019892171025,2.7394743552431464,2023-09-14 07:17:18.032727,1117,26,1,,,1.0,D,,0
5,31,3,A,1,0,1,A,1.0,C,72.63907988741994,15.058452690020204,2023-09-14 07:17:18.286517,1729,23,1,1.0,1.0,1.0,A,0.0,2
6,32,2,D,1,1,0,D,1.0,,2.9452721690759063,1.8915980253368616,2023-09-14 07:17:21.037452,580,26,1,,,1.0,D,,1
7,33,3,B,1,1,0,B,1.0,,4.10472880396992,1.7386085335165262,2023-09-14 07:17:25.239405,1000,26,1,,,1.0,B,,2
8,34,4,A,1,1,0,A,1.0,,3.2788168685510755,1.2750337682664394,2023-09-14 07:17:28.582701,171,26,1,,,1.0,A,,3
9,35,1,B,1,0,0,,,,6.32617899402976,,2023-09-14 07:17:29.562741,2441,24,0,,,,B,,1
10,36,5,C,0,1,0,C,0.0,,4.208031030371785,2.0225766440853477,2023-09-14 07:17:32.854645,2167,26,1,,,1.0,D,,4
11,37,4,D,0,0,1,D,0.0,B,28.82232271041721,4.748476586304605,2023-09-14 07:17:47.170078,1741,23,1,1.0,1.0,1.0,B,1.0,3
12,38,3,C,0,1,0,C,0.0,,6.485983895137906,3.0620415890589356,2023-09-14 07:17:48.213671,1332,26,1,,,1.0,B,,5
13,39,3,B,0,1,0,B,0.0,,6.021586031652987,1.8508541593328118,2023-09-14 07:17:56.426014,1231,26,1,,,1.0,D,,6
14,40,1,C,1,0,0,,,,7.3503332659602165,,2023-09-14 07:18:00.119045,567,25,0,,,,C,,0
15,41,2,C,1,0,1,A,0.0,C,40.969759362749755,4.959232202731073,2023-09-14 07:18:10.599332,780,24,1,0.0,0.0,0.0,C,0.0,2
16,42,3,C,0,1,0,C,0.0,,13.152221604250371,1.453459046781063,2023-09-14 07:18:13.327877,1778,26,1,,,1.0,A,,7
17,43,3,C,1,0,0,,,,26.959734219126403,,2023-09-14 07:18:19.741414,1282,23,0,,,,C,,4
18,44,3,B,0,0,0,,,,3.154608840122819,,2023-09-14 07:18:23.236854,2265,26,0,,,,C,,8
19,45,3,C,1,1,0,C,1.0,,13.803684131242335,3.395856134593487,2023-09-14 07:18:24.530535,388,24,1,,,1.0,C,,3
20,46,3,A,1,0,1,A,1.0,D,4.3607387794181705,3.4653607262298465,2023-09-14 07:18:28.820699,827,26,1,1.0,1.0,1.0,A,0.0,9
21,47,4,B,1,0,1,B,1.0,D,4.065890531055629,2.448035647161305,2023-09-14 07:18:32.946159,1563,26,1,1.0,1.0,1.0,B,0.0,10
22,48,5,C,1,1,0,C,1.0,,3.462886279448867,1.8960558399558067,2023-09-14 07:18:36.491021,803,26,1,,,1.0,C,,11
23,49,6,B,1,1,0,B,1.0,,3.034695567563176,1.414966281503439,2023-09-14 07:18:39.585011,713,26,1,,,1.0,B,,12
24,50,4,C,1,0,1,A,0.0,C,20.790866054594517,2.33032163977623,2023-09-14 07:18:40.614078,414,23,1,0.0,0.0,0.0,C,0.0,5
25,51,7,B,1,0,1,B,1.0,D,3.298810599371791,1.658247065730393,2023-09-14 07:18:42.946624,716,26,1,1.0,1.0,1.0,B,0.0,13
26,52,2,D,1,0,0,,,,45.76074366085231,,2023-09-14 07:18:45.943109,2631,25,0,,,,D,,1
27,53,3,B,1,0,0,,,,36.08600417431444,,2023-09-14 07:19:22.232641,2143,25,0,,,,B,,2
28,54,4,B,1,0,0,,,,4.483544532209635,,2023-09-14 07:19:26.775701,593,25,0,,,,B,,3
29,55,8,B,1,1,0,B,1.0,,6.516074852086604,1.2867761114612222,2023-09-14 07:19:33.193578,143,26,1,,,1.0,B,,14
30,56,9,A,0,1,0,A,0.0,,3.344970148988068,1.7268332531675696,2023-09-14 07:19:36.605897,964,26,1,,,1.0,D,,15
31,57,8,A,0,0,0,,,,1.7291472740471363,,2023-09-14 07:19:41.092359,2515,26,0,,,,D,,16
32,58,8,C,1,0,0,,,,0.8990314910188317,,2023-09-14 07:19:43.060784,2391,26,0,,,,C,,17
33,59,9,C,0,0,1,C,0.0,B,3.363551394082606,1.5185270151123405,2023-09-14 07:19:46.517401,278,26,1,1.0,1.0,1.0,D,0.0,18
34,60,8,A,0,0,1,B,1.0,D,2.28799756988883,1.5383994048461318,2023-09-14 07:19:50.531400,2261,26,1,1.0,0.0,0.0,B,0.0,19
35,61,8,B,0,0,1,B,0.0,C,3.1800230629742146,1.9147913875058293,2023-09-14 07:19:54.866146,43,26,1,1.0,1.0,1.0,C,1.0,20
36,62,8,D,1,0,0,,,,4.94806669279933,,2023-09-14 07:20:01.196675,987,26,0,,,,D,,21
37,63,9,B,1,0,1,B,1.0,A,5.619977456517518,1.4207267053425312,2023-09-14 07:20:06.871420,1614,26,1,1.0,1.0,1.0,B,0.0,22
38,64,10,D,0,0,0,,,,4.8640594109892845,,2023-09-14 07:20:11.826538,2931,26,0,,,,C,,23
39,65,5,D,1,0,1,C,0.0,D,96.4392195045948,6.494665768928826,2023-09-14 07:20:17.141729,2512,23,1,0.0,0.0,0.0,D,0.0,6
40,66,8,D,0,0,1,D,0.0,C,2.9759632498025894,2.149775294587016,2023-09-14 07:20:17.321062,2365,26,1,1.0,1.0,1.0,B,0.0,24
41,67,8,A,0,0,0,,,,1.1032882118597627,,2023-09-14 07:20:19.497164,695,26,0,,,,B,,25
42,68,1,C,1,1,0,A,0.0,,35.0131669677794,10.364054028876126,2023-09-14 07:20:21.820192,817,28,1,,,0.0,C,,0
43,69,8,A,0,0,1,D,1.0,B,2.186477478593588,1.4656413635239005,2023-09-14 07:20:22.954133,1660,26,1,1.0,0.0,0.0,D,0.0,26
44,70,6,C,1,0,0,,,,12.451400637626648,,2023-09-14 07:20:29.670814,450,23,0,,,,C,,7
45,71,5,C,1,0,1,B,0.0,C,63.864730382338166,6.969533883035183,2023-09-14 07:20:30.698287,793,25,1,0.0,0.0,0.0,C,0.0,4
46,72,8,D,0,1,0,C,1.0,,12.428026762790978,6.789733641780913,2023-09-14 07:20:36.815200,1933,26,1,,,0.0,C,,27
47,73,6,B,0,0,0,,,,11.15848744660616,,2023-09-14 07:20:41.943499,1486,25,0,,,,A,,5
48,74,8,B,0,0,1,C,1.0,A,4.582884333096445,3.056253840215504,2023-09-14 07:20:43.366883,1590,26,1,1.0,0.0,0.0,C,0.0,28
49,75,3,B,1,0,0,,,,3.7964229229837656,,2023-09-14 07:20:52.764706,2460,25,0,,,,B,,6
50,76,2,D,0,1,0,A,1.0,,36.29135751910508,20.528309506364167,2023-09-14 07:20:58.213417,2430,28,1,,,0.0,A,,1
51,77,8,B,0,0,1,B,0.0,C,16.667539451271296,1.844605945982039,2023-09-14 07:21:01.395421,2283,26,1,1.0,1.0,1.0,A,0.0,29
52,78,7,A,1,0,1,C,0.0,A,32.31188669707626,2.7408934626728296,2023-09-14 07:21:02.054293,687,23,1,0.0,0.0,0.0,A,0.0,8
53,79,8,C,0,0,1,B,0.0,A,6.867584543302655,1.6112299486994743,2023-09-14 07:21:09.611500,1593,26,1,1.0,0.0,0.0,A,1.0,30
54,80,8,C,1,0,1,A,0.0,D,9.493832223117352,4.726804769597948,2023-09-14 07:21:20.370926,1738,26,1,1.0,0.0,0.0,C,0.0,31
55,81,1,A,1,1,0,A,1.0,,21.87296645157039,6.304726244881749,2023-09-14 07:21:24.327325,2414,28,1,,,1.0,A,,2
56,82,9,A,0,0,1,C,1.0,B,10.631420115940273,1.704937125556171,2023-09-14 07:21:31.061707,496,26,1,1.0,0.0,0.0,C,0.0,32
57,83,8,B,1,0,0,,,,12.858370879665017,,2023-09-14 07:21:45.432706,522,26,0,,,,B,,33
58,84,9,B,1,0,0,,,,2.459755706600845,,2023-09-14 07:21:47.953537,2149,26,0,,,,B,,34
59,85,10,C,0,0,0,,,,4.72893693856895,,2023-09-14 07:21:52.744839,2836,26,0,,,,B,,35
60,86,2,A,1,0,1,D,0.0,A,39.240334022790194,4.307737512513995,2023-09-14 07:22:03.628587,1475,28,1,0.0,0.0,0.0,A,0.0,3
61,87,8,B,0,0,1,D,1.0,A,14.903161013498902,2.097296452149749,2023-09-14 07:22:10.570424,1040,26,1,1.0,0.0,0.0,D,0.0,36
62,88,8,B,1,0,0,,,,7.831362834200263,,2023-09-14 07:22:19.687193,453,26,0,,,,B,,37
63,89,4,C,0,1,0,C,0.0,,115.5302545754239,2.8576091211289167,2023-09-14 07:22:48.352351,407,25,1,,,1.0,A,,7
64,90,3,A,0,1,0,A,0.0,,75.29173459857702,21.595436037518084,2023-09-14 07:23:19.052458,570,28,1,,,1.0,B,,4
