,id,sex,age,education,timestamp_2,timestamp_7,timestamp_end,timestamp_start,game_won,time_to_2,time_to_7,time_to_end,time_total
0,22,m,0.0,0.0,,,,2023-09-14 07:15:21.890718,,,,,
1,23,m,0.0,0.0,2023-09-14 07:16:05.551872,2023-09-14 07:21:02.096269,,2023-09-14 07:15:16.685550,,0 days 00:00:48.866322,0 days 00:05:45.410719,,
2,24,m,0.0,0.0,2023-09-14 07:18:10.639285,,,2023-09-14 07:16:25.078086,,0 days 00:01:45.561199,,,
3,25,m,0.0,0.0,2023-09-14 07:18:46.030984,2023-09-14 07:29:21.531787,,2023-09-14 07:17:52.711975,,0 days 00:00:53.319009,0 days 00:11:28.819812,,
4,26,m,0.0,0.0,2023-09-14 07:17:21.075012,2023-09-14 07:18:42.980380,,2023-09-14 07:17:11.204013,,0 days 00:00:09.870999,0 days 00:01:31.776367,,
6,28,f,0.0,1.0,2023-09-14 07:22:03.706125,2023-09-14 07:29:59.037656,2023-09-14 07:38:35.861843,2023-09-14 07:19:46.693372,1.0,0 days 00:02:17.012753,0 days 00:10:12.344284,0 days 00:18:49.168471,0 days 00:18:49.168471
7,29,m,0.0,1.0,2023-09-14 07:38:48.870803,2023-09-14 14:05:25.516215,2023-09-14 14:24:44.883139,2023-09-14 07:36:23.713215,1.0,0 days 00:02:25.157588,0 days 06:29:01.803000,0 days 06:48:21.169924,0 days 06:48:21.169924
8,30,m,1.0,1.0,2023-09-14 07:43:34.931180,2023-09-14 07:57:38.636952,2023-09-14 08:49:33.981030,2023-09-14 07:41:25.659538,1.0,0 days 00:02:09.271642,0 days 00:16:12.977414,0 days 01:08:08.321492,0 days 01:08:08.321492
9,31,f,3.0,3.0,,,,2023-09-14 07:49:52.114479,,,,,
11,33,m,0.0,0.0,2023-09-14 07:58:07.819169,2023-09-14 08:02:02.577205,2023-09-14 08:07:36.164356,2023-09-14 07:55:21.861464,1.0,0 days 00:02:45.957705,0 days 00:06:40.715741,0 days 00:12:14.302892,0 days 00:12:14.302892
12,34,m,0.0,0.0,,,2023-09-14 08:02:39.527039,2023-09-14 08:02:06.130417,0.0,,,,0 days 00:00:33.396622
13,35,m,0.0,0.0,2023-09-14 08:06:55.828413,,,2023-09-14 08:04:46.129806,,0 days 00:02:09.698607,,,
14,36,f,0.0,1.0,2023-09-14 08:09:24.893703,2023-09-14 08:12:18.323403,2023-09-14 08:16:40.557494,2023-09-14 08:06:36.325708,1.0,0 days 00:02:48.567995,0 days 00:05:41.997695,0 days 00:10:04.231786,0 days 00:10:04.231786
15,37,f,0.0,1.0,2023-09-14 08:08:50.956448,2023-09-14 08:18:11.210451,2023-09-14 08:28:53.292121,2023-09-14 08:07:57.838196,1.0,0 days 00:00:53.118252,0 days 00:10:13.372255,0 days 00:20:55.453925,0 days 00:20:55.453925
17,39,m,2.0,4.0,,,,2023-09-14 08:09:09.665152,,,,,
18,40,,0.0,0.0,2023-09-14 08:23:37.040725,,,2023-09-14 08:14:39.494752,,0 days 00:08:57.545973,,,
19,41,m,2.0,2.0,2023-09-14 08:14:34.708307,,2023-09-14 08:17:16.403354,2023-09-14 08:12:14.172947,0.0,0 days 00:02:20.535360,,,0 days 00:05:02.230407
20,42,m,2.0,3.0,,,2023-09-14 08:14:30.550619,2023-09-14 08:13:13.102717,0.0,,,,0 days 00:01:17.447902
23,45,m,0.0,1.0,2023-09-14 08:23:55.136902,,,2023-09-14 08:22:46.491189,,0 days 00:01:08.645713,,,
24,46,,0.0,1.0,2023-09-14 08:25:50.350184,,,2023-09-14 08:25:22.450674,,0 days 00:00:27.899510,,,
25,47,m,0.0,1.0,,,,2023-09-14 08:26:33.606688,,,,,
26,48,m,3.0,3.0,2023-09-14 08:35:36.898088,2023-09-14 08:38:34.170592,,2023-09-14 08:31:47.559773,,0 days 00:03:49.338315,0 days 00:06:46.610819,,
27,49,m,0.0,0.0,2023-09-14 08:33:26.884409,,2023-09-14 08:35:49.505842,2023-09-14 08:32:08.117790,0.0,0 days 00:01:18.766619,,,0 days 00:03:41.388052
28,50,m,2.0,3.0,,,2023-09-14 08:43:48.339546,2023-09-14 08:39:19.339213,0.0,,,,0 days 00:04:29.000333
30,52,m,0.0,0.0,2023-09-14 08:38:26.027335,2023-09-14 08:41:24.738291,,2023-09-14 08:37:43.175458,,0 days 00:00:42.851877,0 days 00:03:41.562833,,
