,id,sex,age,education,timestamp_2,timestamp_7,timestamp_end,timestamp_start,game_won,time_to_2,time_to_7,time_to_end,time_total
23,39,m,1.0,1.0,2023-10-26 08:08:50.055841,2023-10-26 08:12:24.684933,2023-10-26 08:13:48.483420,2023-10-26 08:08:16.399900,1.0,0 days 00:00:33.655941,0 days 00:04:08.285033,0 days 00:05:32.083520,0 days 00:05:32.083520
24,40,,2.0,3.0,2023-10-26 09:05:30.171529,2023-10-26 09:10:13.884795,2023-10-26 09:13:12.612510,2023-10-26 09:04:32.350143,1.0,0 days 00:00:57.821386,0 days 00:05:41.534652,0 days 00:08:40.262367,0 days 00:08:40.262367
26,42,m,1.0,1.0,,,,2023-10-26 10:06:21.750745,,,,,
27,43,,2.0,2.0,,,,2023-10-26 10:08:01.344421,,,,,
28,44,m,2.0,2.0,2023-10-26 10:09:22.256617,2023-10-26 10:13:32.283196,2023-10-26 10:20:19.070502,2023-10-26 10:06:30.413184,1.0,0 days 00:02:51.843433,0 days 00:07:01.870012,0 days 00:13:48.657318,0 days 00:13:48.657318
29,45,m,1.0,1.0,2023-10-26 10:07:48.706711,2023-10-26 10:15:30.761046,2023-10-26 11:29:06.200701,2023-10-26 10:06:20.530073,1.0,0 days 00:01:28.176638,0 days 00:09:10.230973,0 days 01:22:45.670628,0 days 01:22:45.670628
30,46,m,2.0,3.0,2023-10-26 10:09:24.168323,2023-10-26 10:18:38.677589,2023-10-26 10:19:49.918924,2023-10-26 10:06:45.608431,1.0,0 days 00:02:38.559892,0 days 00:11:53.069158,0 days 00:13:04.310493,0 days 00:13:04.310493
31,47,m,2.0,3.0,2023-10-26 10:08:27.096670,2023-10-26 10:09:46.324333,,2023-10-26 10:06:37.954949,,0 days 00:01:49.141721,0 days 00:03:08.369384,,
32,48,m,2.0,3.0,,,,2023-10-26 10:06:57.131097,,,,,
33,49,f,2.0,3.0,2023-10-26 10:10:48.894988,2023-10-26 10:15:24.564324,2023-10-26 10:21:53.232796,2023-10-26 10:07:02.793787,0.0,0 days 00:03:46.101201,0 days 00:08:21.770537,,0 days 00:14:50.439009
34,50,f,2.0,3.0,2023-10-26 10:07:43.934352,2023-10-26 10:18:41.259790,,2023-10-26 10:06:56.484129,,0 days 00:00:47.450223,0 days 00:11:44.775661,,
35,51,m,1.0,3.0,,,,2023-10-26 10:08:26.195149,,,,,
37,53,f,2.0,4.0,2023-10-26 10:09:12.824862,2023-10-26 10:27:46.194319,,2023-10-26 10:08:34.666119,,0 days 00:00:38.158743,0 days 00:19:11.528200,,
38,54,m,1.0,3.0,2023-10-26 10:11:29.525585,2023-10-26 10:13:17.565688,2023-10-26 10:16:12.110581,2023-10-26 10:09:00.380972,1.0,0 days 00:02:29.144613,0 days 00:04:17.184716,0 days 00:07:11.729609,0 days 00:07:11.729609
40,56,m,1.0,1.0,,,,2023-10-26 10:13:37.724863,,,,,
41,57,,,,,,2023-10-26 10:21:10.170375,2023-10-26 10:20:41.824091,0.0,,,,0 days 00:00:28.346284
42,58,m,2.0,3.0,2023-10-26 10:28:09.425196,2023-10-26 10:30:25.942629,2023-10-26 10:38:37.864900,2023-10-26 10:25:54.518874,1.0,0 days 00:02:14.906322,0 days 00:04:31.423755,0 days 00:12:43.346026,0 days 00:12:43.346026
44,60,f,1.0,3.0,2023-10-26 11:00:25.889226,2023-10-26 11:07:08.012363,2023-10-26 11:22:08.472011,2023-10-26 10:59:55.229200,1.0,0 days 00:00:30.660026,0 days 00:07:12.783163,0 days 00:22:13.242811,0 days 00:22:13.242811
45,61,m,2.0,3.0,2023-10-26 11:30:28.639718,2023-10-26 11:32:22.992548,2023-10-26 11:36:26.086591,2023-10-26 11:29:09.219812,1.0,0 days 00:01:19.419906,0 days 00:03:13.772736,0 days 00:07:16.866779,0 days 00:07:16.866779
48,64,m,1.0,2.0,2023-10-28 11:43:26.535705,,,2023-10-26 11:58:14.594033,,1 days 23:45:11.941672,,,
49,65,m,1.0,2.0,2023-10-26 11:59:17.536470,2023-10-26 12:01:12.218595,2023-10-26 12:04:35.189894,2023-10-26 11:58:00.175133,1.0,0 days 00:01:17.361337,0 days 00:03:12.043462,0 days 00:06:35.014761,0 days 00:06:35.014761
50,66,m,1.0,2.0,,,,2023-10-26 12:05:40.543573,,,,,
51,67,m,2.0,2.0,2023-10-26 13:23:19.849372,,,2023-10-26 13:21:39.294691,,0 days 00:01:40.554681,,,
52,68,m,1.0,3.0,2023-10-26 13:39:50.808101,2023-10-26 13:43:23.621964,2023-10-26 13:47:18.857532,2023-10-26 13:37:02.096121,1.0,0 days 00:02:48.711980,0 days 00:06:21.525843,0 days 00:10:16.761411,0 days 00:10:16.761411
